Reserve,Type,Date,SiteID,PlotID,Lat,Long,Distance,Orthometric Height,MLLW,Species,Cover,Maximum Canopy Height
ELK,E,09/14/2016,Old Salinas River Channel,4,36.7965455,-121.7899188,36.3,1.644,1.643,Salicornia pacifica,94,0.35
ELK,E,09/14/2016,Old Salinas River Channel,5,36.7965835,-121.7897918,48.4,1.621,1.620,Salicornia pacifica,100,0.30
ELK,E,09/14/2016,Old Salinas River Channel,6,36.7966231,-121.7896654,60.5,1.593,1.592,Salicornia pacifica,100,0.36
ELK,E,09/14/2016,Old Salinas River Channel,7,36.7966628,-121.7895393,72.6,1.593,1.592,Salicornia pacifica,100,0.32
ELK,E,09/14/2016,Old Salinas River Channel,8,36.7967026,-121.7894132,84.7,1.537,1.536,Salicornia pacifica,100,0.28
ELK,E,09/14/2016,Old Salinas River Channel,9,36.7967423,-121.7892868,96.8,1.559,1.558,Salicornia pacifica,100,0.30
ELK,E,09/14/2016,Old Salinas River Channel,10,36.7967873,-121.7891562,109.5,1.220,1.219,Salicornia pacifica,50,0.18
ELK,E,09/14/2016,,,,,,,,,,
ELK,E,09/14/2016,,,,,,,,,,
ELK,E,09/14/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/28/2016,,,,,,,,,,
ELK,E,09/28/2016,,,,,,,,,,
ELK,E,09/28/2016,,,,,,,,,,
ELK,E,09/28/2016,,,,,,,,,,
ELK,E,09/28/2016,,,,,,,,,,
ELK,E,09/28/2016,,,,,,,,,,
ELK,E,09/28/2016,,,,,,,,,,
ELK,E,09/28/2016,,,,,,,,,,
ELK,E,09/28/2016,,,,,,,,,,
ELK,E,09/07/2016,,,,,,,,,,
ELK,E,09/12/2016,,,,,,,,,,
